FOLIO;SEMESTRE;AÑO;COD_ESPECTACULOS;ESPECTACULOS;COD_SUBESPECTACULO;SUBESPECTACULOS;DOMINIO;NUM_REGION;REGIONESTABLECIMIENTO;Mes1NumFunciones;Mes1AsistPagados;Mes1AsistGratuitos;Mes2NumFunciones;Mes2AsistPagados;Mes2AsistGratuitos;Mes3NumFunciones;Mes3AsistPagados;Mes3AsistGratuitos;Mes4NumFunciones;Mes4AsistPagados;Mes4AsistGratuitos;Mes5NumFunciones;Mes5AsistPagados;Mes5AsistGratuitos;Mes6NumFunciones;Mes6AsistPagados;Mes6AsistGratuitos
1;PRIMER SEMESTRE;2014;3;MUSICALES;3;CONCIERTO MUSICA POPULAR;ARTES MUSICALES;1;REGION DE TARAPACA;0;0;0;1;1800;500;3;0;6000;0;0;0;0;0;0;0;0;0
1;PRIMER SEMESTRE;2014;4;DEPORTIVOS;5;VOLEIBOL;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;0;0;0;0;0;0;2;0;300;0;0;0;0;0;0;0;0;0
1;PRIMER SEMESTRE;2014;4;DEPORTIVOS;8;TENIS;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;1;0;2;0;0;0;1;0;25;0;0;0;0;0;0;0;0;0
4;PRIMER SEMESTRE;2014;1;TEATRALES;1;INFANTIL;ARTES ESCENICAS;1;REGION DE TARAPACA;2;58;75;0;0;0;0;0;0;0;0;0;2;55;120;2;77;135
4;PRIMER SEMESTRE;2014;1;TEATRALES;2;ADULTO;ARTES ESCENICAS;1;REGION DE TARAPACA;4;70;110;0;0;0;0;0;0;0;0;0;2;53;110;2;87;140
7;PRIMER SEMESTRE;2014;4;DEPORTIVOS;3;BABYFUTBOL;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;6;0;600;4;0;700;8;0;400;0;0;0;0;0;0;0;0;0
8;PRIMER SEMESTRE;2014;4;DEPORTIVOS;1;FUTBOL AMATEUR;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;2;0;60;2;0;60;4;0;50;2;0;80;2;0;60;2;0;50
8;PRIMER SEMESTRE;2014;4;DEPORTIVOS;3;BABYFUTBOL;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;1;0;30;2;0;40;2;0;20;1;0;25;2;0;30;2;0;20
8;PRIMER SEMESTRE;2014;4;DEPORTIVOS;4;BASQUETBOL;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;1;0;60;1;0;25;1;0;15;2;0;30;2;0;30;1;0;15
8;PRIMER SEMESTRE;2014;4;DEPORTIVOS;5;VOLEIBOL;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;1;0;20;1;0;20;2;0;30;1;0;80;1;0;20;1;0;90
8;PRIMER SEMESTRE;2014;4;DEPORTIVOS;8;TENIS;RELACIONADOS (DEPORTE);1;REGION DE TARAPACA;1;0;15;1;0;15;1;0;10;1;0;10;1;0;15;1;0;10
9;PRIMER SEMESTRE;2014;1;TEATRALES;1;INFANTIL;ARTES ESCENICAS;1;REGION DE TARAPACA;0;0;0;0;0;0;0;0;0;2;0;400;0;0;0;0;0;0
9;PRIMER SEMESTRE;2014;3;MUSICALES;3;CONCIERTO MUSICA POPULAR;ARTES MUSICALES;1;REGION DE TARAPACA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;200;0;0;0
11;PRIMER SEMESTRE;2014;1;TEATRALES;2;ADULTO;ARTES ESCENICAS;15;REGION DE ARICA Y PARINACOTA;14;0;2220;14;0;2240;6;0;1300;10;0;2180;12;0;1648;8;0;949
11;PRIMER SEMESTRE;2014;5;OTROS TIPOS;2;CINE;MEDIOS AUDIOVISUALES E INTERACTIVOS;15;REGION DE ARICA Y PARINACOTA;0;0;0;0;0;0;0;0;0;0;0;0;2;0;278;2;0;75
12;PRIMER SEMESTRE;2014;4;DEPORTIVOS;4;BASQUETBOL;RELACIONADOS (DEPORTE);15;REGION DE ARICA Y PARINACOTA;5;0;120;8;0;180;14;0;250;0;0;0;5;0;1500;16;0;300
13;PRIMER SEMESTRE;2014;4;DEPORTIVOS;1;FUTBOL AMATEUR;RELACIONADOS (DEPORTE);15;REGION DE ARICA Y PARINACOTA;12;1416;100;14;1652;200;18;2124;200;25;2950;100;24;2800;1050;26;3060;1100
13;PRIMER SEMESTRE;2014;4;DEPORTIVOS;7;ATLETISMO;RELACIONADOS (DEPORTE);15;REGION DE ARICA Y PARINACOTA;10;0;250;12;0;300;14;0;400;10;0;350;12;0;400;16;0;600
20;PRIMER SEMESTRE;2014;1;TEATRALES;2;ADULTO;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;50;1;0;60
20;PRIMER SEMESTRE;2014;2;DANZA;1;BALLET;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;1;0;80;0;0;0;0;0;0;1;0;60;0;0;0;1;0;100
20;PRIMER SEMESTRE;2014;2;DANZA;2;MODERNA Y/O CONTEMPORANEA;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;100
20;PRIMER SEMESTRE;2014;2;DANZA;3;REGIONAL O FOLCLORICA;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;1;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;PRIMER SEMESTRE;2014;3;MUSICALES;3;CONCIERTO MUSICA POPULAR;ARTES MUSICALES;2;REGION DE ANTOFAGASTA;1;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;PRIMER SEMESTRE;2014;1;TEATRALES;1;INFANTIL;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;0;0;0;2;591;0;1;260;0;0;0;0
23;PRIMER SEMESTRE;2014;1;TEATRALES;2;ADULTO;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;6;0;2295;0;0;0;0;0;0;0;0;0;6;260;409;0;0;0
23;PRIMER SEMESTRE;2014;2;DANZA;1;BALLET;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;0;0;0;1;0;750;0;0;0;1;0;250
23;PRIMER SEMESTRE;2014;2;DANZA;3;REGIONAL O FOLCLORICA;ARTES ESCENICAS;2;REGION DE ANTOFAGASTA;5;0;3923;0;0;0;0;0;0;0;0;0;0;0;0;1;320;0
23;PRIMER SEMESTRE;2014;3;MUSICALES;1;CONCIERTO MUSICA DOCTA;ARTES MUSICALES;2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;1;0;760;1;0;790;0;0;0;1;0;867
23;PRIMER SEMESTRE;2014;3;MUSICALES;3;CONCIERTO MUSICA POPULAR;ARTES MUSICALES;2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;2;1291;0;3;840;590;2;565;0;3;480;420
24;PRIMER SEMESTRE;2014;4;DEPORTIVOS;3;BABYFUTBOL;RELACIONADOS (DEPORTE);2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;0;0;0;0;0;0;5;0;80;4;0;50
24;PRIMER SEMESTRE;2014;4;DEPORTIVOS;4;BASQUETBOL;RELACIONADOS (DEPORTE);2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;0;0;0;0;0;0;10;0;100;15;0;100
24;PRIMER SEMESTRE;2014;4;DEPORTIVOS;9;ARTES MARCIALES;RELACIONADOS (DEPORTE);2;REGION DE ANTOFAGASTA;1;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;PRIMER SEMESTRE;2014;4;DEPORTIVOS;10;OTROS DEPORTES;RELACIONADOS (DEPORTE);2;REGION DE ANTOFAGASTA;0;0;0;0;0;0;0;0;0;1;0;20;0;0;0;0;0;0
